,lat,temp,humidity,wind_speed,cloudiness,city_name
0,65.61,-1.0,50,2.6,0,Tasiilaq
1,59.7,-9.0,85,3.0,75,Nikolskoye
2,64.86,-17.8,84,1.31,90,College
3,47.66,2.0,100,5.7,90,Torbay
4,-23.12,23.3,100,9.96,92,Rikitea
5,-33.64,20.05,93,2.96,0,Busselton
6,-26.98,25.45,86,2.31,24,San Patricio
7,-33.21,33.55,32,5.81,0,Jamestown
8,-33.59,20.63,92,4.81,88,Port Alfred
9,60.79,-14.4,86,1.21,90,Bethel
10,53.41,6.0,93,4.1,0,Liverpool
11,-26.88,20.0,100,6.2,90,Xanxere
12,-33.93,16.0,93,2.6,20,Cape Town
13,48.35,0.0,81,1.0,0,Hechingen
14,-42.88,20.0,42,4.6,20,Hobart
15,45.36,-6.5,62,4.1,1,Saint-Philippe
16,-9.8,27.6,99,6.01,92,Atuona
17,15.34,14.0,87,2.6,0,Vaini
18,63.05,-29.03,100,3.36,0,Beringovskiy
19,39.95,9.5,83,4.1,75,Kodiak
20,64.42,-21.0,70,2.0,0,Provideniya
21,16.38,20.0,77,3.1,40,Champerico
22,-54.81,6.0,81,2.6,75,Ushuaia
23,28.37,18.0,27,4.1,0,Icod de los Vinos
24,38.18,7.0,93,2.1,0,Fortuna
25,-22.97,25.23,89,4.26,0,Arraial do Cabo
26,38.52,16.8,100,7.41,100,Ribeira Grande
27,-23.58,35.08,46,5.06,0,Bluff
28,37.46,14.4,87,0.81,90,Half Moon Bay
29,37.72,15.0,62,3.1,40,Vila Franca do Campo
30,19.71,25.0,68,2.1,75,Hilo
31,45.6,9.0,100,5.1,56,Souillac
32,36.3,5.3,75,2.1,1,Elizabeth City
33,42.65,-6.1,58,5.7,20,Albany
34,62.23,7.0,93,6.2,92,Klaksvik
35,-42.48,11.0,81,1.5,80,Castro
36,-8.61,28.3,82,0.51,20,Ruteng
37,61.08,-14.15,81,1.66,76,Vizinga
38,2.04,27.33,98,8.06,0,Mogadishu
39,-31.97,39.0,14,5.7,0,Broken Hill
40,33.08,4.6,92,0.61,92,Hanzhong
41,41.28,-1.7,48,9.8,1,Nantucket
42,61.04,-9.0,92,2.0,75,Megion
43,-34.53,19.0,77,3.1,76,Bredasdorp
44,49.78,-12.0,85,3.1,90,Chapais
45,-28.66,23.6,87,4.01,36,Sao Borja
46,65.8,-26.53,68,9.26,24,Turukhansk
47,35.15,-1.9,66,4.21,0,Grants
48,3.07,29.08,100,6.81,76,Butaritari
49,-13.71,21.0,83,6.2,0,Pisco
50,-53.16,10.0,76,2.6,75,Punta Arenas
51,23.99,15.0,21,6.7,40,Constitucion
52,37.17,5.53,66,3.66,32,Sitka
53,59.29,-11.4,91,2.16,80,Budogoshch
54,50.4,4.0,80,3.1,75,Moose Jaw
55,39.31,2.8,77,3.01,1,Port Elizabeth
56,30.78,-1.18,56,0.86,0,Lata
57,-29.68,22.0,88,4.1,90,Montenegro
58,36.58,8.0,100,5.7,75,Yamada
59,70.62,-38.93,78,1.41,24,Chokurdakh
60,71.97,-40.53,0,4.06,8,Saskylakh
61,27.84,13.0,58,2.0,0,Zhuzhou
62,-20.01,26.0,74,7.2,40,Grand Gaube
63,34.75,4.53,71,1.66,88,Yima
64,28.4,18.0,85,2.1,90,Beeville
65,77.48,-16.95,97,4.16,76,Qaanaaq
66,78.22,3.0,94,13.4,75,Longyearbyen
67,13.22,26.0,78,7.2,40,Bathsheba
68,-46.43,21.55,41,6.16,76,Mar del Plata
69,67.47,-21.68,60,10.46,32,Tazovskiy
70,68.75,-39.65,0,0.21,8,Cherskiy
71,67.67,3.1,100,8.96,0,Sorland
72,48.55,8.9,51,8.2,1,Havre
73,-32.72,26.0,74,5.7,90,Nelson Bay
74,40.8,13.9,100,3.1,90,Eureka
75,54.02,2.0,100,3.6,90,Kitimat
76,69.7,-36.93,100,1.71,0,Pevek
77,43.22,-2.0,86,6.2,90,Varna
78,-46.19,16.28,60,6.26,36,Mataura
79,46.13,-5.0,74,8.7,90,Houlton
80,24.14,16.3,91,2.66,76,Bama
81,22.08,21.1,86,8.7,90,Kapaa
82,-33.69,18.98,88,6.26,92,Chuy
83,-26.54,29.0,54,3.1,40,Kingaroy
84,60.75,-15.03,88,0.81,76,Haines Junction
85,-39.94,19.73,67,3.76,88,Waipawa
86,56.85,-7.03,72,4.46,80,Yantal
87,50.57,-13.4,35,1.61,0,Alihe
88,-21.21,28.0,83,4.1,40,Avarua
89,-11.02,22.95,92,0.91,36,Cobija
90,27.52,18.0,59,1.5,5,Laguna
91,69.44,-13.0,84,4.6,90,Tuktoyaktuk
92,26.05,17.0,83,1.41,75,Nuevo Progreso
93,11.28,25.93,100,4.11,20,Bubaque
94,-35.17,20.08,78,6.76,92,Ahipara
95,5.06,24.0,94,1.5,20,Brokopondo
96,65.58,-16.8,100,7.56,8,Lavrentiya
97,10.18,21.08,92,0.21,12,Boffa
98,-5.2,25.0,88,2.1,40,Touros
99,27.65,13.0,58,2.0,0,Liling
100,10.24,25.0,88,2.51,20,Esperance
101,-8.75,24.0,94,1.0,75,Porto Velho
102,37.78,14.4,80,1.51,20,San Francisco
103,51.76,5.0,65,3.1,0,Sande
104,-42.78,20.0,42,4.6,20,New Norfolk
105,-25.88,23.63,100,2.26,92,Guaratuba
106,14.69,21.0,68,7.7,0,Dakar
107,62.45,-14.0,84,4.1,20,Yellowknife
108,-35.1,24.13,48,6.71,64,Kaeo
109,3.49,29.0,83,1.5,75,Pekan
110,8.38,25.0,83,3.1,20,Rio Hato
111,-16.92,31.0,74,7.2,20,Cairns
112,38.18,3.0,59,1.11,1,Morehead
113,70.47,-17.0,84,6.7,90,Clyde River
114,55.1,-10.0,92,0.86,40,La Ronge
115,-45.58,12.0,81,2.1,40,Coihaique
116,25.52,14.98,98,2.01,76,Tura
117,36.62,14.0,80,1.5,1,Pacific Grove
118,42.34,-4.13,100,0.66,80,Kyzyl-Suu
119,-30.21,18.08,96,1.41,0,Umkomaas
120,24.22,16.28,65,2.76,92,Santander Jimenez
121,8.96,10.0,76,2.1,20,Lebu
122,-12.12,17.88,97,0.96,48,Pangoa
123,7.04,30.0,79,7.2,75,Kloulklubed
124,69.22,-8.0,78,1.31,48,Ilulissat
125,-20.34,26.0,74,7.2,40,Bambous Virieux
126,11.67,26.03,100,5.71,68,Port Blair
127,-46.28,12.45,72,6.11,36,Kaitangata
128,41.31,3.9,60,7.7,1,Laramie
129,26.54,22.38,100,3.46,56,Marsh Harbour
130,72.79,-8.78,100,4.36,64,Upernavik
131,37.8,15.0,62,3.1,40,Rabo de Peixe
132,-0.74,24.1,99,4.41,0,Puerto Ayora
133,63.59,-9.0,85,1.0,90,Mayo
134,48.11,-3.9,96,2.1,1,Devils Lake
135,3.25,20.38,97,0.96,20,Gemena
136,54.28,5.0,93,1.0,48,Scarborough
137,-38.31,16.78,43,5.26,0,Barrow
138,26.08,13.95,83,1.36,0,Phulpur
139,59.36,-7.8,84,6.56,80,Okhotsk
140,39.42,6.0,86,2.1,75,Chara
141,51.52,-14.88,83,3.51,36,Adamovka
142,-34.42,16.23,92,1.46,92,Hermanus
143,-46.13,12.88,99,6.31,76,Tuatapere
144,-14.27,24.3,100,6.11,92,Sambava
145,41.87,5.6,61,3.1,1,Scottsbluff
146,-3.75,28.85,79,1.86,32,Payo
147,48.95,8.0,93,8.2,90,Saint-Pierre
148,64.73,-35.0,66,4.0,20,Anadyr
149,-33.02,22.03,100,8.76,48,East London
150,-32.03,21.03,96,6.31,92,Rio Grande
151,-2.97,24.98,88,0.86,44,Rantepao
152,60.91,-14.28,60,0.51,36,Narsaq
153,-3.44,23.38,100,2.11,80,Mayumba
154,50.23,-3.0,53,8.2,75,Havre-Saint-Pierre
155,44.93,-7.65,56,2.91,0,Wuchang
156,-19.93,29.6,56,4.11,0,Mayor Pablo Lagerenza
157,49.65,8.0,93,3.6,0,Veraval
158,-10.07,17.98,91,1.51,88,Huarmey
159,63.29,-26.83,70,2.66,20,Nyurba
160,50.36,-5.63,93,1.46,88,Berestechko
161,46.42,10.0,71,1.0,90,Saint-Francois
162,2.67,27.1,100,4.01,64,Kudahuvadhoo
163,5.38,24.3,100,3.31,56,Sinnamary
164,68.05,-17.03,71,1.41,0,Ostrovnoy
165,22.89,21.0,49,1.5,5,Cabo San Lucas
166,51.3,-2.98,95,0.86,92,Golden
167,54.13,-9.48,71,2.21,0,Meadow Lake
168,13.64,25.0,73,3.6,75,San Vicente
169,33.58,5.6,85,1.5,40,Lubbock
170,26.35,20.5,54,3.6,1,Gushikawa
171,-34.72,24.7,69,5.56,20,Port Lincoln
172,-34.43,18.73,82,4.11,92,Juan Lacaze
173,-2.92,23.55,97,3.56,32,Itarema
174,-14.66,16.85,94,0.86,68,Menongue
175,63.86,-8.65,67,3.46,0,Vuktyl
176,15.79,26.93,65,3.11,12,San Jose
177,-39.64,13.0,82,2.1,0,Panguipulli
178,39.45,6.0,86,2.1,75,Saint George
179,41.42,5.88,99,3.81,92,Saldanha
180,-8.93,29.35,62,0.91,24,Airai
181,-25.24,34.0,20,3.6,0,Yulara
182,55.4,-16.0,84,2.76,90,Laishevo
183,28.68,17.0,67,4.1,0,Santa Cruz de la Palma
184,52.05,-10.13,82,1.41,76,Mazyr
185,12.83,16.93,46,2.91,0,kimparana
186,49.99,-29.4,46,1.21,32,Kosh-Agach
187,40.24,3.3,75,2.1,1,Indianola
188,-14.8,16.38,93,1.31,0,Kaoma
189,17.01,24.0,60,4.1,0,Salalah
190,53.65,1.0,68,4.6,75,Mackay
191,-3.8,24.8,96,3.56,80,Pentecoste
192,39.62,1.7,51,1.06,1,Vardo
193,-20.22,20.0,68,5.7,40,Iquique
194,-17.73,26.43,100,7.51,0,Caravelas
195,28.58,8.0,81,1.5,0,Dwarka
196,11.0,29.18,63,7.51,8,Dingle
197,35.21,13.9,66,0.96,90,Arvin
198,63.75,-9.0,72,3.1,90,Iqaluit
199,50.92,-12.98,59,2.61,0,Kalga
200,71.64,-34.18,47,0.56,24,Tiksi
201,-33.3,22.7,51,4.36,0,San Luis
202,-3.86,16.73,100,1.41,80,Mbulu
203,22.68,10.63,50,3.61,56,Taoudenni
204,7.99,22.53,83,2.26,12,Daru
205,52.23,-3.4,90,4.46,0,Konin
206,-0.6,28.08,100,3.66,0,Hithadhoo
207,47.85,-5.0,85,4.6,90,Chapleau
208,43.41,13.3,86,5.7,90,North Bend
209,16.86,27.0,74,2.6,5,Acapulco
210,66.83,-18.8,83,8.51,36,Yar-Sale
211,30.43,11.38,79,1.81,92,Qianjiang
212,-19.55,28.0,74,3.1,90,Isangel
213,48.17,8.0,93,7.2,40,Pithiviers
214,34.64,16.1,71,2.6,1,Lompoc
215,-23.7,38.0,17,5.7,0,Alice Springs
216,13.3,16.0,29,5.1,0,Madarounfa
217,-2.57,29.35,100,2.36,0,Kavieng
218,-28.95,32.0,51,1.5,75,Codrington
219,34.92,14.0,87,4.6,90,Lasa
220,-7.95,27.8,85,1.91,12,Bambanglipuro
221,48.67,9.0,87,5.7,80,Groa
222,27.87,11.0,43,3.6,0,Adrar
223,60.13,-6.2,86,4.31,68,Uray
224,-18.09,22.13,72,3.31,0,Mucurici
225,48.64,-1.0,92,3.6,24,Wanning
226,50.68,-2.2,100,7.91,32,Severo-Kurilsk
227,-30.97,10.43,44,2.71,8,Carnarvon
228,21.83,17.48,97,1.46,92,Lang Son
229,7.02,26.0,100,6.2,90,Maputi
230,-16.52,27.58,100,1.41,20,Vaitape
231,42.77,11.0,93,5.7,40,Muros
232,-26.65,13.43,94,4.01,0,Luderitz
233,28.27,7.35,78,0.86,0,Baglung
234,49.22,-10.95,76,6.06,24,Poronaysk
235,-2.51,22.43,100,2.31,92,Fonte Boa
236,13.3,14.13,24,3.86,12,Oum Hadjer
237,9.67,15.6,40,3.66,0,Matagami
238,9.49,24.8,100,7.51,68,Bandarbeyla
239,43.61,-3.9,46,3.31,0,Tongliao
240,20.52,11.98,39,1.36,24,Atar
241,53.05,-1.0,50,7.0,40,Petropavlovsk-Kamchatskiy
242,27.97,14.78,90,3.11,0,Guerrero Negro
243,52.37,-10.13,80,5.56,68,Bystryy Istok
244,48.86,8.0,93,5.1,90,Paris
245,67.46,-43.9,0,1.06,12,Srednekolymsk
246,-3.71,27.0,83,5.1,0,Vila Velha
247,49.51,-2.0,100,2.16,48,Carman
248,40.33,6.0,88,3.6,1,Basco
249,49.18,1.0,86,3.1,90,Deer Lake
250,-1.57,26.58,100,2.96,76,Omboue
251,50.2,-5.0,53,6.2,20,Sept-Iles
252,12.86,22.0,30,2.6,0,Koulikoro
253,61.47,-8.08,74,3.86,12,Zelenoborsk
254,-5.56,26.23,99,3.71,92,Cabinda
255,63.2,-15.78,81,9.01,44,Noyabrsk
256,42.0,11.0,81,5.1,75,Oia
257,54.77,-11.9,76,1.06,0,Flin Flon
258,69.3,-37.18,60,1.21,36,Deputatskiy
259,48.57,-10.0,92,3.1,90,Amos
260,-16.8,20.8,74,4.36,0,Tsaratanana
261,13.6,11.35,35,5.86,0,Umm Kaddadah
262,55.74,-7.0,92,1.5,90,Thompson
263,29.19,6.28,82,1.26,0,Fort Abbas
264,21.46,26.38,100,3.61,0,Cockburn Town
265,45.62,-2.0,86,12.9,90,Port Hawkesbury
266,64.25,6.35,97,7.06,92,Hofn
267,39.36,9.0,100,1.5,40,Peniche
268,-37.83,18.0,93,3.1,90,Mount Gambier
269,-8.65,28.0,74,2.1,75,Denpasar
270,18.69,6.95,70,1.96,0,Bilma
271,14.46,16.55,58,2.81,0,Tenenkou
272,59.98,-15.93,75,2.16,64,Totma
273,12.22,26.93,94,8.16,80,Alugan
274,-2.95,20.35,98,1.16,92,Mossendjo
275,28.89,8.28,88,0.86,100,Huilong
276,52.14,5.0,65,3.1,0,Enger
277,41.81,-5.08,72,3.31,0,Linjiang
278,52.96,7.0,75,6.7,90,Den Helder
279,30.04,13.3,86,3.36,1,Nome
280,-24.69,22.23,57,4.01,8,Ampanihy
281,70.98,-4.63,100,4.91,0,Honningsvag
282,62.91,6.0,100,4.1,64,Bud
283,67.8,-45.73,0,1.21,0,Batagay-Alyta
284,36.21,4.0,69,1.16,1,Morristown
285,66.82,-15.73,73,4.96,0,Kharp
286,61.99,8.0,49,5.1,76,Raudeberg
287,36.17,-2.53,80,1.21,0,Damghan
288,66.15,-12.73,76,2.31,88,Pangnirtung
289,6.8,27.0,94,2.1,0,Georgetown
290,-41.87,11.0,81,1.5,56,Ancud
291,-39.19,17.33,100,6.36,100,Okato
292,43.94,4.8,100,3.76,0,Biograd na Moru
293,14.9,23.13,98,5.91,36,Sao Filipe
294,44.06,6.0,85,3.6,1,Bend
295,46.45,-12.18,70,3.86,56,Vostok
296,43.27,9.0,81,3.1,92,Bereda
297,-37.72,11.33,84,1.86,0,Mulchen
298,-0.92,27.0,83,1.5,20,Padang
299,62.58,6.0,45,7.2,80,Roald
300,-34.58,21.0,100,5.1,90,Flinders
301,-10.46,28.28,100,3.81,76,Kirakira
302,13.08,25.05,99,4.26,48,Tuy Hoa
303,55.75,-9.0,85,2.0,75,Zheleznodorozhnyy
304,-10.16,31.0,58,4.1,75,Kupang
305,-20.73,41.0,15,4.6,0,Mount Isa
306,48.65,2.93,90,7.96,92,Bonavista
307,62.22,-33.2,43,1.06,8,Dzhebariki-Khaya
308,52.47,-20.93,72,1.06,20,Toora-Khem
309,-18.24,19.38,63,1.86,0,Diamantina
310,-26.25,18.0,77,2.26,24,Alberton
311,69.38,-27.63,100,3.91,24,Leningradskiy
312,52.47,7.0,93,5.1,0,Broome
313,10.15,26.0,65,3.6,0,Nicoya
314,21.5,25.6,78,5.7,75,Wahiawa
315,60.89,-29.3,58,1.31,32,Amga
316,10.59,29.18,63,7.51,8,San Joaquin
317,62.16,7.0,93,6.2,68,Vestmanna
318,18.44,27.0,69,4.1,20,Lucea
319,-15.77,32.0,59,3.6,20,Kununurra
320,43.32,-1.0,50,8.2,20,Nemuro
321,9.68,1.08,79,0.61,12,Debre Birhan
322,-29.95,15.0,87,1.96,0,Coquimbo
323,60.14,-3.78,90,1.61,48,Nanortalik
324,-38.38,16.78,43,5.26,0,Tres Arroyos
325,24.63,13.0,87,2.1,0,Riyadh
326,50.84,8.0,65,5.7,20,Simpelveld
327,54.32,6.0,93,4.6,90,Prince Rupert
328,21.53,13.95,98,1.86,0,Deogarh
329,-34.0,18.58,90,4.31,100,Kruisfontein
330,-4.91,16.73,99,0.96,68,Kondoa
331,4.87,26.18,100,2.76,20,Axim
332,49.93,-10.93,68,4.61,44,Dauriya
333,14.29,28.0,74,4.1,75,Ternate
334,57.11,3.0,93,4.6,88,Varberg
335,27.54,9.53,84,0.86,0,Ziro
336,56.26,-11.28,82,5.46,44,Dalmatovo
337,43.97,3.3,69,6.2,90,Saint Anthony
338,-20.56,24.3,100,3.56,92,Koumac
339,-45.41,9.6,97,1.66,92,Te Anau
340,39.21,9.0,93,2.1,20,Almeirim
341,61.8,-1.0,92,3.1,80,Kankaanpaa
342,-12.05,30.73,94,2.56,48,Maningrida
343,-8.83,26.0,83,2.6,75,Luanda
344,33.73,12.0,65,5.1,20,Tanabe
